frame,timestamp_sec,scene_name,group_id,video_name,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cx,cy,frame_width,frame_height,crossed_line,direction,speed_px_s
37,1.233,log1,group_02,traffic1.mp4,3,car,0.491,818,361,986,480,902,420,1280,720,false,left,120.0
38,1.267,log1,group_02,traffic1.mp4,3,car,0.482,817,361,984,481,900,421,1280,720,false,left,67.1
39,1.3,log1,group_02,traffic1.mp4,3,car,0.587,814,360,978,477,896,418,1280,720,false,left,150.0
40,1.333,log1,group_02,traffic1.mp4,7,car,0.595,1042,423,1157,552,1099,487,1280,720,true,,0.0
41,1.367,log1,group_02,traffic1.mp4,7,car,0.644,1033,428,1151,555,1092,491,1280,720,false,left,258.1
42,1.4,log1,group_02,traffic1.mp4,7,car,0.763,1023,432,1146,559,1084,495,1280,720,false,left,268.3
43,1.433,log1,group_02,traffic1.mp4,7,car,0.631,1012,435,1140,562,1076,498,1280,720,false,left,247.4
43,1.433,log1,group_02,traffic1.mp4,3,car,0.5,794,363,958,482,876,422,1280,720,false,left,153.0
44,1.467,log1,group_02,traffic1.mp4,7,car,0.759,1001,434,1133,564,1067,499,1280,720,false,left,271.7
45,1.5,log1,group_02,traffic1.mp4,7,car,0.607,989,435,1124,566,1056,500,1280,720,false,left,305.9
46,1.533,log1,group_02,traffic1.mp4,5,person,0.571,92,375,121,437,106,406,1280,720,false,left,155.7
46,1.533,log1,group_02,traffic1.mp4,7,car,0.52,976,435,1117,569,1046,502,1280,720,false,left,301.5
47,1.567,log1,group_02,traffic1.mp4,5,person,0.463,85,374,114,437,99,405,1280,720,false,left,212.1
48,1.6,log1,group_02,traffic1.mp4,5,person,0.53,74,375,103,437,88,406,1280,720,false,left,301.5
49,1.633,log1,group_02,traffic1.mp4,9,truck,0.679,1066,215,1274,729,1170,472,1280,720,true,,0.0
49,1.633,log1,group_02,traffic1.mp4,5,person,0.516,61,372,91,436,76,404,1280,720,false,left,394.6
50,1.667,log1,group_02,traffic1.mp4,9,truck,0.727,1055,213,1274,730,1164,471,1280,720,false,left,182.5
51,1.7,log1,group_02,traffic1.mp4,9,truck,0.754,1037,193,1272,726,1154,459,1280,720,false,left,446.0
52,1.733,log1,group_02,traffic1.mp4,9,truck,0.599,1020,149,1272,718,1146,433,1280,720,false,up,816.1
53,1.767,log1,group_02,traffic1.mp4,7,car,0.742,859,400,1021,537,940,468,1280,720,false,left,479.9
53,1.767,log1,group_02,traffic1.mp4,3,car,0.56,693,318,858,435,775,376,1280,720,false,left,329.0
53,1.767,log1,group_02,traffic1.mp4,9,truck,0.503,1006,116,1273,715,1139,415,1280,720,false,up,607.5
54,1.8,log1,group_02,traffic1.mp4,7,car,0.725,840,384,1003,519,921,451,1280,720,false,left,785.2
54,1.8,log1,group_02,traffic1.mp4,9,truck,0.41,994,86,1274,713,1134,399,1280,720,false,up,474.3
