timestamp,scene,frame,track_id,class_name,x1,y1,x2,y2,confidence,crossed
2026-04-28 21:26:42.344,intersection_finetuned,42,9,person,193,716,367,852,0.872,0
2026-04-28 21:26:42.344,intersection_finetuned,42,1,person,478,741,617,870,0.7295,0
2026-04-28 21:26:42.453,intersection_finetuned,43,9,person,178,716,361,857,0.8668,0
2026-04-28 21:26:42.453,intersection_finetuned,43,1,person,478,739,616,868,0.7421,0
2026-04-28 21:26:42.585,intersection_finetuned,44,9,person,161,716,353,862,0.8758,0
2026-04-28 21:26:42.586,intersection_finetuned,44,1,person,478,737,616,865,0.693,0
2026-04-28 21:26:42.586,intersection_finetuned,44,10,bus,853,804,914,948,0.4371,0
2026-04-28 21:26:42.756,intersection_finetuned,45,9,person,139,715,342,866,0.8559,0
2026-04-28 21:26:42.756,intersection_finetuned,45,1,person,477,734,614,861,0.7952,0
2026-04-28 21:26:42.885,intersection_finetuned,46,9,person,115,717,329,871,0.8798,0
2026-04-28 21:26:42.885,intersection_finetuned,46,1,person,478,732,614,855,0.7787,0
2026-04-28 21:26:42.886,intersection_finetuned,46,17,person,306,719,389,787,0.6172,0
2026-04-28 21:26:43.011,intersection_finetuned,47,9,person,89,723,313,878,0.8928,0
2026-04-28 21:26:43.011,intersection_finetuned,47,1,person,477,731,613,854,0.7062,0
2026-04-28 21:26:43.011,intersection_finetuned,47,17,person,287,704,390,788,0.6653,0
2026-04-28 21:26:43.133,intersection_finetuned,48,9,person,61,726,297,883,0.8912,0
2026-04-28 21:26:43.133,intersection_finetuned,48,1,person,476,730,612,851,0.709,0
2026-04-28 21:26:43.133,intersection_finetuned,48,17,person,276,703,391,793,0.608,0
2026-04-28 21:26:43.252,intersection_finetuned,49,9,person,32,729,281,888,0.9,0
2026-04-28 21:26:43.252,intersection_finetuned,49,1,person,476,729,612,848,0.7277,0
2026-04-28 21:26:43.252,intersection_finetuned,49,17,person,268,700,392,796,0.7275,0
2026-04-28 21:26:43.368,intersection_finetuned,50,9,person,8,734,263,893,0.9033,0
2026-04-28 21:26:43.369,intersection_finetuned,50,1,person,478,729,612,846,0.693,0
2026-04-28 21:26:43.369,intersection_finetuned,50,17,person,267,707,394,802,0.6707,0
2026-04-28 21:26:43.369,intersection_finetuned,50,18,bus,863,789,920,931,0.4497,0
2026-04-28 21:26:43.487,intersection_finetuned,51,9,person,-5,735,247,895,0.8904,0
2026-04-28 21:26:43.487,intersection_finetuned,51,1,person,479,727,612,842,0.7917,0
2026-04-28 21:26:43.487,intersection_finetuned,51,17,person,267,712,395,807,0.6748,0
2026-04-28 21:26:43.487,intersection_finetuned,51,18,bus,859,787,916,930,0.5947,0
2026-04-28 21:26:43.589,intersection_finetuned,52,9,person,-14,738,230,898,0.8587,0
2026-04-28 21:26:43.590,intersection_finetuned,52,17,person,266,715,395,811,0.7715,0
2026-04-28 21:26:43.590,intersection_finetuned,52,1,person,478,724,610,841,0.7271,0
2026-04-28 21:26:43.590,intersection_finetuned,52,18,bus,854,782,913,924,0.5898,0
2026-04-28 21:26:43.770,intersection_finetuned,53,9,person,-21,739,208,897,0.8894,0
2026-04-28 21:26:43.771,intersection_finetuned,53,17,person,265,720,394,814,0.7731,0
2026-04-28 21:26:43.771,intersection_finetuned,53,1,person,476,723,611,839,0.6783,0
2026-04-28 21:26:43.771,intersection_finetuned,53,18,bus,847,777,911,922,0.6053,0
2026-04-28 21:26:43.898,intersection_finetuned,54,9,person,-27,739,183,896,0.8474,0
2026-04-28 21:26:43.899,intersection_finetuned,54,17,person,262,726,393,819,0.7612,0
2026-04-28 21:26:43.899,intersection_finetuned,54,1,person,473,721,610,837,0.5981,0
2026-04-28 21:26:43.899,intersection_finetuned,54,18,bus,849,776,912,919,0.4676,0
2026-04-28 21:26:44.009,intersection_finetuned,55,9,person,-32,742,154,898,0.8493,0
2026-04-28 21:26:44.009,intersection_finetuned,55,17,person,256,726,390,821,0.7382,0
