epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,10962.5,1.39459,0.81208,1.0363,0.52844,0.39198,0.40774,0.2299,1.36288,0.73959,1.01091,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
33,11300.6,1.3931,0.80412,1.0313,0.54884,0.38639,0.40887,0.23134,1.36174,0.73765,1.01071,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
34,11636.9,1.38881,0.80032,1.03073,0.5485,0.38086,0.41001,0.23205,1.36016,0.73603,1.00993,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
35,11973.7,1.37391,0.7917,1.02706,0.5522,0.38313,0.41062,0.23233,1.35884,0.73496,1.00944,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
36,12309.9,1.37618,0.79205,1.02782,0.55396,0.38303,0.41052,0.23335,1.35801,0.73459,1.00854,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
37,12647.3,1.36608,0.78428,1.02428,0.53431,0.39073,0.41127,0.23433,1.35796,0.7336,1.00811,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
38,12984,1.37605,0.7887,1.02736,0.54926,0.38587,0.41216,0.2346,1.35734,0.7331,1.00788,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
39,13321.6,1.36224,0.78155,1.02304,0.54264,0.38355,0.41457,0.23596,1.35659,0.73244,1.00764,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
40,13658.9,1.36053,0.77479,1.02077,0.55516,0.38816,0.41603,0.23656,1.35598,0.73179,1.00735,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
41,13985.4,1.38461,0.76976,1.03007,0.55895,0.38526,0.41513,0.23621,1.35557,0.73127,1.00706,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
42,14309.3,1.3812,0.76572,1.02854,0.55894,0.38871,0.41473,0.23608,1.35556,0.73099,1.00707,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
43,14633.7,1.37551,0.76424,1.02341,0.56376,0.3875,0.41506,0.23656,1.35528,0.73078,1.00678,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
44,14958.6,1.37376,0.75831,1.02401,0.57637,0.38788,0.41572,0.23693,1.35494,0.73063,1.00643,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
45,15282.7,1.36795,0.7516,1.02349,0.58035,0.3854,0.41542,0.23715,1.35467,0.73046,1.00631,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
46,15608.3,1.36288,0.74592,1.02092,0.58393,0.38533,0.41502,0.23724,1.35455,0.73014,1.00614,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
47,15934.2,1.35578,0.74315,1.0204,0.58624,0.38447,0.41545,0.2371,1.3543,0.72996,1.00605,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
48,16258.7,1.35372,0.74007,1.01826,0.58102,0.3857,0.41564,0.23701,1.35404,0.72994,1.00595,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
49,16581,1.34427,0.7331,1.01466,0.5843,0.38402,0.41557,0.23733,1.35377,0.72973,1.00577,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
50,16905.6,1.34698,0.73064,1.0145,0.5881,0.38441,0.41663,0.23781,1.35371,0.72975,1.00562,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
